361228,2111,Фены и укладка
361228,2119,Другое
2103,21032,Женская
2103,21031,Мужская
3005,1100,Бельё
3005,1065,Брюки, штаны
3005,1094,Деловые костюмы
3005,1293,Джинсы
3005,1095,Куртки
3005,1292,Пальто
3005,1099,Пиджаки, блейзеры
3005,1093,Рубашки
3005,1090,Свитера, кардиганы
3005,1091,Футболки, поло
3005,1080,Другая мужская одежда
3004,1056,Брелки
3004,1054,Галстуки
3004,1052,Головные уборы
3004,1057,Кошельки
3004,1055,Органайзеры
3004,1050,Очки
3004,1051,Перчатки
3004,1049,Ремни
3004,1058,Сумки, портфели, рюкзаки
3004,1053,Шарфы
3004,1059,Другие мужские аксессуары
33,3303,Амулеты
33,3302,Браслеты
33,3313,Броши, заколки
33,3304,Детские
33,3307,Для волос
33,3310,Драгоценные металлы
33,3314,Кольца
33,3309,Коробочки, расходные материалы
33,3311,Мужские украшения
33,3315,Наборы
33,3301,Общие
33,3312,Ожерелья, кулоны
33,3308,Ручная работа
33,3305,Серьги
33,3317,Старинные украшения
33,3316,Часы
33,3306,Этнические
33,3318,Другое
15,1130,Гаражи
15,1504,Дома
15,1505,Квартиры
15,1502,Коммерческая недвижимость
15,1503,Участки земли
15,1040,Часть дома
15,1506,Другое
3612,1262,Административная работа
3612,361237,Бытовые услуги и клининг
3612,1261,Здравоохранение и фармацевтика
3612,1247,Информационные технологии
3612,1254,Культура и развлечения
3612,1245,Маркетинг и реклама
3612,1255,Медиа
3612,1252,Образование и наука
3612,1256,Продажи
3612,1246,Промышленность и производство
3612,1259,Рестораны и общепит
3612,1257,Сельское хозяйство
3612,1263,Спорт и красота
3612,1244,Строительство и недвижимость
3612,1260,Техника и механика
3612,1258,Транспорт и логистика
3612,1248,Туризм
3612,1253,Управление
3612,1249,Финансы
3612,1250,Электроника и телекоммуникации
3612,1251,Энергетика
3612,1264,Другое
23,18,Билеты
23,22,Видеоигры
23,361223,Игры
23,32,Кино и DVD
23,24,Книги и журналы
23,361236,Коллекционирование
23,28,Музыка
23,34,Музыкальные инструменты
23,1131,Подарочные карты
23,29,Путешествия и отдых
23,10,Ремесла
23,3609,Табакокурение
18,1803,Кино
18,1801,Клубы
18,1802,Концерты
18,1804,Спортивные мероприятия
18,1805,Театр
18,1806,Другое
22,2201,Аксессуары
22,1173,Запчасти
22,2202,Игры
22,2203,Интернет игры
22,2204,Консоли
22,2208,Другое
2201,2205,Провода, адаптеры
2201,1171,Пульты и контроллеры
2201,1172,Другое
32,3201,DVD, HD DVD, Blu-ray
32,3203,Кассеты
32,3202,Пленка
32,3204,Другое
24,2403,Антикварные, коллекции
